id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
19540,KCPS,small_airport,St Louis Downtown Airport,38.5707016,-90.15619659,413,NA,US,US-IL,Cahokia/St Louis,no,KCPS,CPS,CPS
19546,KCQW,small_airport,Cheraw Municipal Airport/Lynch Bellinger Field,34.71289825,-79.95700073,239,NA,US,US-SC,Cheraw,no,KCQW,HCW,CQW
19548,KCR,small_airport,Colorado Creek Airport,63.56769943,-155.9889984,860,NA,US,US-AK,Colorado Creek,no,KCR,KCR,KCR
19549,KCRE,medium_airport,Grand Strand Airport,33.81169891,-78.72389984,32,NA,US,US-SC,North Myrtle Beach,no,KCRE,CRE,CRE
19550,KCRG,medium_airport,Jacksonville Executive at Craig Airport,30.3362999,-81.51439667,41,NA,US,US-FL,Jacksonville,no,KCRG,CRG,CRG
19551,KCRO,small_airport,Corcoran Airport,36.102502,-119.595001,197,NA,US,US-CA,Corcoran,no,,CRO,43CN
3466,KCRP,medium_airport,Corpus Christi International Airport,27.77039909,-97.50119781,44,NA,US,US-TX,Corpus Christi,yes,KCRP,CRP,CRP
19552,KCRQ,medium_airport,McClellan-Palomar Airport,33.12829971,-117.2799988,331,NA,US,US-CA,Carlsbad,no,KCRQ,CLD,CRQ
19553,KCRS,small_airport,C David Campbell Field Corsicana Municipal Airport,32.02809906,-96.40059662,449,NA,US,US-TX,Corsicana,no,KCRS,CRS,CRS
19554,KCRT,small_airport,Z M Jack Stell Field,33.17829895,-91.88020325,184,NA,US,US-AR,Crossett,no,KCRT,CRT,CRT
3467,KCRW,medium_airport,Yeager Airport,38.37310028,-81.59320068,981,NA,US,US-WV,Charleston,yes,KCRW,CRW,CRW
19555,KCRX,small_airport,Roscoe Turner Airport,34.91500092,-88.60350037,425,NA,US,US-MS,Corinth,no,KCRX,CRX,CRX
